.,/,r,e,s,u,l,t,s,/,l,s,t,m,_,t,h,r,e,e,_,s,h,o,r,t,.,t,x,t
F
0.7391,0.4816,0.0000,0.0000,0.7391,1.0000
0.7401,0.5016,0.2000,0.0038,0.7399,1.0000
0.7391,0.4805,0.0000,0.0000,0.7391,1.0000
0.7401,0.5177,0.2000,0.0035,0.7398,1.0000
0.7391,0.4880,0.0000,0.0000,0.7391,1.0000
0.7401,0.5294,0.2000,0.0033,0.7398,1.0000
0.7391,0.4874,0.0000,0.0000,0.7391,1.0000
0.7391,0.5084,0.0000,0.0000,0.7391,1.0000
0.7401,0.5433,0.1143,0.0140,0.7412,0.9957
F,A
0.7391,0.5319,0.0000,0.0000,0.7391,1.0000
0.7391,0.5634,0.0000,0.0000,0.7391,1.0000
0.7391,0.6107,0.0000,0.0000,0.7391,1.0000
0.7391,0.6069,0.0000,0.0000,0.7391,1.0000
0.7391,0.6364,0.0000,0.0000,0.7391,1.0000
0.7391,0.6578,0.2025,0.0662,0.7481,0.9751
0.7391,0.6258,0.0000,0.0000,0.7391,1.0000
0.7391,0.6274,0.0000,0.0000,0.7391,1.0000
0.7391,0.6372,0.0000,0.0000,0.7391,1.0000
